confidence_sum,num_components,threshold
854,491,96727
2112,166,60278
2260,939,74024
2121,192,4176
3398,100,75057
1520,77,75760
756,954,74015
1748,671,99505
1391,483,40216
1559,653,87892
2756,927,74020
1292,559,40087
2281,550,76975
1734,122,75070
1124,559,76984
1065,177,4184
1564,844,32015
449,342,36980
2142,108,75054
1299,116,75049
1143,901,44581
1431,544,76954
1766,932,74010
1116,176,60258
1230,717,5389
2799,148,75071
1613,928,82817
1229,736,61558
1905,102,75086
1128,408,88431
827,107,75083
1188,447,5063
1827,582,41734
3673,504,14466
1373,114,6836
2534,742,21906
1420,190,10149
799,200,2918
2046,645,25789
1247,707,40885
1149,572,80363
2286,661,35527
729,194,97723
2010,920,70355
0,456,274
1653,516,76958
585,597,89340
1524,69,37394
1852,218,50412
2015,737,69432
0,77,155
2367,26,22495
1126,654,14017
932,727,69429
1698,350,25011
1845,938,62719
1664,968,53527
1457,456,82738
1143,290,4242
454,503,532
2168,362,35827
2004,182,85322
1391,490,3020
802,137,80893
2028,796,12966
1508,166,90986
1430,752,90011
763,134,18100
1096,703,79631
1249,45,38005
1453,621,97761
737,654,61427
1783,429,73228
2283,974,2277
781,175,63559
1565,956,72379
500,566,97374
1873,399,39412
1203,378,1760
785,738,69428
1467,7,25994
929,618,74853
2961,381,80490
650,6,38954
1573,311,62451
2711,392,59984
1424,519,92412
2074,323,47312
1692,396,25784
1450,937,48479
3306,961,57631
1801,732,84844
2243,833,3780
2197,274,54313
666,437,803
1509,601,58588
1031,584,51589
2006,688,33520
1103,956,28072
1768,732,23901
1013,272,78221
1803,127,65232
1873,315,67050
1414,943,86900
1074,819,19169
