confidence_sum,grid,radius,threshold
0,550,10,69529
0,169,3,45087
0,572,64,38088
0,410,95,75637
0,562,64,86825
0,124,54,7
0,74,96,99905
1,1,76,15423
0,243,71,91435
0,140,81,70210
0,987,81,20593
10724,38,80,15466
0,972,76,69635
0,345,33,46739
0,179,79,28877
0,751,80,82279
0,850,32,54739
0,108,47,18304
0,725,45,89601
0,99,71,63164
0,618,31,71066
0,864,86,56209
0,557,77,70666
0,887,33,61447
7928,46,10,42911
0,769,46,20927
0,174,92,97113
0,90,67,71791
0,437,19,6303
0,550,6,3581
0,384,43,63443
0,297,76,84844
0,428,48,82712
14664,45,23,42897
158,8,7,15444
0,856,22,10869
42692,76,32,42912
0,227,95,79622
0,203,70,87717
7838,33,21,42875
0,853,63,78979
0,806,90,93658
3643,22,77,42953
0,68,93,42902
0,564,81,87884
4390,25,44,42941
41376,74,58,42904
0,157,87,49657
0,160,95,46792
0,501,27,12510
0,128,70,15381
25742,83,14,42942
0,316,83,24316
0,113,45,42984
0,716,74,53859
0,133,8,42874
0,623,65,9298
0,153,39,42925
48640,65,63,42846
0,687,71,59395
21204,75,42,42965
0,95,65,42944
0,885,47,95053
0,799,33,31301
0,427,75,53269
3644,31,74,15490
0,689,77,12359
21776,54,9,42912
6772,42,63,42854
60980,89,18,42877
0,878,54,74704
112464,86,52,42967
0,56,94,42966
21616,53,64,42839
0,423,11,85497
22268,77,33,42908
14241,45,30,42822
0,96,55,42818
0,98,59,42865
0,61,73,15474
0,99,75,42971
0,95,68,42985
0,104,86,52983
0,662,98,58526
27791,61,20,42752
8128,34,14,42718
32524,66,40,42721
0,39,87,15438
42760,75,55,42743
9908,51,50,42709
19863,52,48,42907
55516,86,30,42971
25900,58,68,42905
3499,22,50,42834
26568,60,25,42869
79680,103,43,42744
33208,67,39,42697
58056,87,50,42907
0,70,81,42765
48300,80,45,42687
0,104,55,42736
70020,97,37,42974
45352,78,43,42937
39828,102,32,42874
51224,83,32,42679
